Iteration Number,Travel Time
0,134.3825775
1,123.63720666666669
2,125.37846833333334
3,116.55541833333334
4,127.62975055555557
5,119.61781000000002
6,122.71821055555554
7,120.80304194444443
8,122.94744388888887
9,119.70470444444445
10,118.52060166666666
11,119.65762305555555
12,111.82329305555558
13,118.31067972222223
14,116.56549277777779
15,123.48347222222222
16,118.13295166666671
17,118.64862944444441
18,115.26034777777778
19,117.21138944444445
20,116.35979666666668
21,117.77399055555554
22,117.42777611111111
23,114.50183083333334
24,114.21707888888889
25,115.95493888888888
26,109.55427277777775
27,113.16415166666667
28,115.1816325
29,114.17253249999999
30,114.36916777777776
31,112.83900416666668
32,115.66476805555556
33,111.38904388888889
34,114.0228702777778
35,109.3168388888889
36,113.08290888888891
37,108.15030055555556
38,113.38391527777779
39,111.03263805555557
40,112.15203027777778
41,116.32263805555556
42,107.70427027777777
43,114.09045416666669
44,116.27739222222223
45,114.63741444444446
46,109.23973138888888
47,115.07741833333336
48,114.42984333333334
49,113.97472583333334
50,114.99090305555558
51,113.04712611111111
52,110.3472547222222
53,111.20659527777778
54,112.78875055555557
55,110.54414472222223
56,110.97295055555557
57,109.55445222222221
58,114.80242722222224
59,112.69005388888891
60,113.21663916666668
61,114.42687944444444
62,114.33757499999999
63,107.79741861111111
64,110.21522472222222
65,113.52489111111109
66,112.67379444444444
67,112.94784444444446
68,110.10945222222222
69,112.10541
70,113.9738613888889
71,112.6689863888889
72,113.63540166666667
73,112.18402666666668
74,115.27650472222223
75,109.58712333333335
76,113.16389999999998
77,112.3425511111111
78,111.2010602777778
79,109.8913613888889
80,112.16044555555554
81,112.476695
82,105.48067916666668
83,106.8351063888889
84,113.32107000000002
85,111.04724555555558
86,110.93380555555555
87,114.13120777777777
88,114.51628583333334
89,112.64910444444446
90,111.49882305555556
91,112.39768222222222
92,114.18714805555558
93,115.8759225
94,112.05936944444446
95,108.84333916666665
96,110.57606083333334
97,112.56437972222221
98,114.55343500000001
99,118.98633277777779
100,108.62834833333335
101,112.91348861111109
102,113.00164000000001
103,116.80103388888894
104,103.87674222222225
105,109.52346222222221
106,112.23303777777777
107,114.73233916666666
108,109.59511722222226
109,106.1937038888889
110,111.23753305555556
111,108.35505611111111
112,109.82919472222221
113,115.31935805555554
114,112.55375166666667
115,112.09494138888888
116,113.12451138888889
117,111.78398277777778
118,115.74337277777778
119,110.30390083333333
120,105.43006361111111
121,111.1991677777778
122,112.59989027777777
123,110.34391055555557
124,112.29626916666663
125,107.59981555555558
126,110.358215
127,110.66923111111112
128,108.00554666666669
129,112.15145666666666
130,113.78890222222222
131,113.18731722222222
132,109.90920527777777
133,115.23614055555555
134,110.22741055555556
135,117.00147194444443
136,109.73164361111114
137,117.64696861111113
138,116.32828472222224
139,111.48097777777778
140,111.35909916666668
141,111.19152333333335
142,111.45311416666667
143,110.1897525
144,106.81783666666671
145,111.38228666666669
146,106.06878
147,113.6326338888889
148,111.7377080555556
149,108.57866000000001
150,110.98529388888889
151,118.80549583333334
152,108.85357805555557
153,111.43574611111111
154,108.6330388888889
155,112.32224944444444
156,112.76709194444445
157,106.28558388888891
158,108.23256694444441
159,110.86434833333334
160,113.26046388888889
161,118.25279722222223
162,109.32884305555558
163,111.70783166666666
164,107.74022305555556
165,108.48885999999999
166,111.66311972222223
167,106.81434833333336
168,112.05723611111111
169,115.060575
170,116.13898055555558
171,110.83149027777779
172,113.28620749999999
173,110.94680027777775
174,109.6290566666667
175,110.17263833333334
176,114.92050277777778
177,108.55624583333332
178,107.07021111111109
179,111.13862277777778
180,113.23298750000001
