Iteration Number,Travel Time
0,118.36250748032174
1,124.45220583333332
2,120.45479861111112
3,122.40171916666662
4,122.16465525809956
5,120.95698027777777
6,119.1412374606436
7,116.46689051619914
8,119.42424861111111
9,126.02891970254399
10,118.58823803587734
11,115.55656499999998
12,124.91877
13,117.01617331365509
14,119.11426773842135
15,118.61560611111112
16,117.72244416666668
17,111.73789500000004
18,117.67270638888891
19,116.45347611111112
20,113.32500388888887
21,112.76307833333331
22,114.31086083333334
23,116.26645
24,112.85264416666669
25,115.58197055555556
26,112.36744388888889
27,110.78835194444449
28,111.38793886921067
29,117.07877194444445
30,112.07047083333335
31,111.09256861111112
32,109.707085
33,113.97182025809958
34,110.94628416666669
35,112.93478164698845
36,106.51013638888891
37,111.7166475
38,115.51220194444444
39,109.72869775809957
40,111.48584882985428
41,105.74644416666666
42,109.71046666666668
43,109.36641305555557
44,106.81785555555558
45,109.2543808136551
46,107.1347661111111
47,103.44088972222222
48,110.4939027777778
49,105.75630083333334
50,107.37675331365513
51,113.82318111111113
52,108.55706166666667
53,104.83891666666666
54,103.56743972222225
55,111.49912498032178
56,107.37263500000003
57,102.4907988888889
58,104.47074111111114
59,102.66338722222227
60,108.93009775809958
61,105.94882109143289
62,106.80890053587737
63,106.72611694444444
64,109.15187416666669
65,103.99275611111113
66,107.31342611111116
67,102.86308194444447
68,108.96783750000003
69,105.45771666666668
70,101.71288775809958
71,98.97966888888888
72,106.57659638888892
73,110.23411746064357
74,104.75977194444448
75,102.54714331365514
76,107.83299914698848
77,105.66059694444445
78,102.57619581365515
79,105.79850662731025
80,104.5668066666667
81,104.86432944444446
82,104.61622581365515
83,102.49667748032181
84,106.84770083333336
85,103.50999192476624
86,102.83436555555559
87,100.24814831365514
88,108.10424803587735
89,103.98660551619916
90,107.54034553587735
91,102.30979777777777
92,104.05383914698845
93,104.10405055555555
94,102.74808444444446
95,105.94383027777779
96,103.44422583333332
97,103.97298331365513
98,107.24820305555556
99,99.62073194444446
100,100.951924702544
101,104.1754979965209
102,103.86141551619914
103,97.75568553587738
104,104.73628805555558
105,103.29911861111111
106,99.43063194444444
107,103.17503551619915
108,100.8279410914329
109,101.54697555555555
110,102.02642775809957
111,104.44875444444445
112,106.67675555555557
113,105.79240583333333
114,104.25336386921066
115,103.21091331365511
116,104.68089886921067
117,101.55608773842135
118,104.89546553587735
119,102.68535166666669
120,102.78705750000002
121,102.47206692476624
122,96.04661333333333
123,104.39767581365513
124,108.6509527777778
125,104.00767861111113
126,106.2350799803218
127,103.50106775809957
128,101.27756111111113
129,102.56684218286581
130,104.70436555555557
131,101.25424722222223
132,103.1380652777778
133,103.43038748032181
134,102.12774333333334
135,103.0690975
136,105.73923831365514
137,98.47311998032183
138,102.39898166666669
139,104.57888331365513
140,105.44687303587739
141,106.35253386921067
142,100.92035916666669
143,98.57116222222224
144,97.3461638888889
145,104.42856109143293
146,101.61630748032181
147,99.18769914698848
148,105.12394
149,103.42498555555557
150,96.35375805555555
151,104.17999442476624
152,101.5302777777778
153,104.85515777777778
154,103.69764775809955
155,102.69743194444446
156,101.81315414698847
157,100.40031220254403
158,105.2909127777778
159,105.51754831365511
160,105.57577250000001
161,102.19578803587737
162,104.29851914698847
163,99.31176888888888
164,108.43675914698846
165,103.40632833333333
166,104.06352720254404
167,100.54853803587736
168,103.25865194444447
169,102.28169472222223
170,102.70210750000004
171,100.77658972222223
172,103.85801914698845
173,99.94338388888889
174,105.67335553587736
175,101.06137025809959
176,99.3471688888889
177,108.09225750000002
178,99.7196963888889
179,103.62615416666668
180,108.95064803587734
181,105.56759470254403
182,100.2278541666667
183,102.23131136921069
184,98.51610500000001
185,103.34067805555557
186,102.85247833333332
187,102.88552750000001
188,99.32559914698844
189,106.08574331365512
190,100.89250916666667
191,105.36586222222223
192,102.4670669444445
193,103.88888000000001
194,103.61821748032179
195,101.40888611111114
196,100.06659996064357
197,98.97071416666671
198,102.79214081365512
199,106.52426666666668
