Iteration Number,Travel Time
0,79.20094583333335
1,77.84922921168916
2,81.01754814560056
3,73.73142555555555
4,78.47018254502248
5,75.2852947672447
6,76.10585476724472
7,72.3783639339114
8,80.15809782280029
9,77.60160948946694
10,76.21407611111113
11,69.57019000000001
12,76.18315425671167
13,73.29807361111109
14,72.49145583333333
15,74.72239277777777
16,75.82332476724471
17,73.31696421168917
18,74.27261055555556
19,71.94252277777778
20,78.21633726724471
21,73.89080032280029
22,70.05100222222222
23,72.17476310057805
24,75.11114976724473
25,73.54696643391136
26,74.39119805555555
27,72.4781036561336
28,76.46276425671167
29,71.38610083333333
30,73.99944666666666
31,73.65771337835582
32,70.2134688888889
33,70.07179388888889
34,72.31323944444446
35,71.76929305555555
36,72.14285972222224
37,70.73032388888888
38,71.07322583333334
39,75.42269166666667
40,71.11714310057806
41,74.05133448946694
42,67.34773555555556
43,72.69311694444443
44,72.47081282280027
45,73.83312865613361
46,71.66795777777776
47,73.33990472222223
48,75.13428754502249
49,72.12972805555555
50,72.27526087835582
51,73.67691032280027
52,71.84088254502251
53,71.24032421168916
54,71.2475022672447
55,71.91825194444445
56,74.67101782280027
57,70.0968672672447
58,71.8928525
59,73.06417675671166
60,69.12182027777777
61,72.8848514339114
62,71.50623722222224
63,69.82410083333332
64,72.73934337835584
65,73.13464560057805
66,69.80127277777775
67,71.65394749999999
68,73.26111694444444
69,73.06986
70,71.51028138888887
71,70.73812837835582
72,71.48476032280027
73,72.0193264339114
74,73.56244138888889
75,74.46190810057803
76,75.15567310057807
77,72.16666115613359
78,73.53755444444444
79,74.03853698946693
80,69.99935972222224
81,75.51214453448944
82,74.96644671168914
83,75.60043509004498
84,73.89214282280028
85,74.67586448946693
86,72.6740836561336
87,75.3405386111111
88,72.7822761561336
89,72.22466333333335
90,74.17474027777777
91,74.01071393391138
92,73.4664600450225
93,74.3013111111111
94,74.48067249999997
95,74.82660222222222
96,74.72553814560055
97,73.84113476724471
98,74.93892666666667
99,71.83658333333332
100,74.74476837835581
101,71.48654249999998
102,74.37412282280026
103,70.18554611111111
104,70.84367222222221
105,77.94440286782276
106,72.72708638888886
107,73.83466620115611
108,72.93970226724468
109,70.1387047222222
110,79.19472314560056
111,69.91829777777777
112,70.66458083333333
113,69.81754805555555
114,70.62324254502249
115,73.19905055555554
116,75.07649166666667
117,70.01590833333331
118,73.68167448946693
119,72.23145448946694
120,74.45156893391139
121,73.76705222222222
122,70.07439111111111
123,77.42404425671165
124,74.20685814560056
125,69.12044282280027
126,77.00932231226723
127,71.0362172222222
128,72.64552694444444
129,74.03005194444444
130,71.16653976724473
131,76.7411100450225
132,72.55440698946694
133,72.98453694444444
134,78.10104921168914
135,71.88345138888889
136,70.08745694444445
137,71.35962055555555
138,75.14801509004499
139,72.81781611111111
140,70.43771638888887
141,74.04301333333333
142,72.2394451350675
143,73.10364277777778
144,74.92076499999996
145,71.9827813888889
146,78.08899064560055
147,73.76070638888888
148,72.06949777777777
149,74.77352448946694
150,76.38611504502249
151,73.42929837835582
152,75.48112726724472
153,76.04065536782277
154,72.82435777777776
155,73.71468916666666
156,75.87562638888888
157,73.38242671168916
158,77.42774310057806
159,78.7381137461786
160,77.50958638888889
161,78.92346726724473
162,73.39322583333335
163,77.11569671168917
164,78.31991735728971
165,72.2350058333333
166,72.62166055555555
167,76.52257198946691
168,76.09703421168918
169,71.99906254502251
170,75.3784887011561
171,71.8534786111111
172,75.41159722222223
173,71.27913083333334
174,71.16032833333333
175,74.31995731226723
176,73.63267472222223
177,74.7463875450225
178,71.95935194444445
179,70.4329997222222
180,73.30170453448946
181,76.85536532280027
182,73.4869325
183,74.39065833333333
184,73.53255310057806
185,74.97022388888888
186,77.72417782280027
187,77.81016675671168
188,75.88361976724471
189,75.529802590045
190,72.90466583333335
191,73.2658286561336
192,77.62837259004499
193,71.6792697672447
194,69.92645027777777
195,78.31945921168918
196,73.14269999999998
197,72.32616638888891
198,72.88673259004497
199,76.44739560057806
