Iteration Number,Travel Time
0,50.63089498971193
1,49.48492946387746
2,52.010087271376314
3,52.31892193415639
4,47.36151607110197
5,52.898005386374024
6,49.96764610082305
7,49.96920696387746
8,45.824673630544126
9,51.98700341220851
10,54.08144532693187
11,52.4733525491541
12,50.33865313443072
13,50.363105634430724
14,50.19668057498858
15,53.00403896776406
16,50.10114254915408
17,51.69992118998628
18,54.091013471650655
19,49.56287446387745
20,50.56218529721079
21,51.09668585276634
22,52.992470049154086
23,53.39250699359853
24,50.96752393804299
25,52.33837754915409
26,50.12760199359853
27,48.780894682213074
28,51.19872224165524
29,50.29257418609968
30,49.48760276748971
31,47.51775940443529
32,48.54239224165524
33,50.19009751943301
34,49.70139446387746
35,45.35398140832189
36,49.96967060470966
37,50.324584741655244
38,50.983499186099685
39,50.54071421582075
40,46.19808196387746
41,48.23021113054413
42,50.0497186602652
43,45.339572489711934
44,47.181743908321906
45,51.06218757887516
46,47.19672943415638
47,48.96338060470964
48,48.685059801097395
49,45.831904434156385
50,50.559740882487425
51,51.330467826931866
52,48.96611560470966
53,48.29843060470964
54,44.99255887860082
55,52.1600509122085
56,45.18452730109739
57,46.90952113054413
58,46.71036137860082
59,47.16164230109739
60,49.22062810470965
61,45.37205721193416
62,47.19821896776407
63,46.97846977137631
64,49.93361810470964
65,45.28779029721079
66,46.31805754915409
67,47.778722578875175
68,47.81400446387745
69,51.52632257887517
70,48.51694893804299
71,48.63309279721081
72,46.73519140832191
73,49.14686363054413
74,45.72274637860083
75,50.232204523319616
76,46.30020415637859
77,47.90705341220851
78,47.68034863054413
79,43.618765297210786
80,44.734982241655246
81,50.29159396776406
82,48.25664618998628
83,49.06380254915409
84,48.40393868998628
85,46.22863557498857
86,45.63604224165523
87,45.82511693415637
88,47.64759168609968
89,48.22281588248743
90,44.69237443415638
91,46.665171438042975
92,48.02030060470964
93,48.321336408321905
94,47.56875529721079
95,48.07316618998629
96,47.345718938042985
97,49.164085912208506
98,44.96820001943301
99,49.007224215820756
100,47.497852549154096
101,45.8316066563786
102,46.260248412208504
103,48.19497480109739
104,49.06211310470965
105,44.64171418609968
106,45.61635971193416
107,47.560854771376306
108,45.46550248971194
109,48.62532007887517
110,45.03352946387745
111,44.28680363054413
112,48.16553032693187
113,48.48731171582075
114,43.1805477674897
115,48.40114227137631
116,49.47734449359853
117,44.07057332304527
118,48.548569245541835
119,50.34416643804298
120,44.71536804526749
121,48.900258412208494
122,48.44834174554184
123,50.74542835276634
124,46.147208600823035
125,47.399320574988565
126,43.65765971193416
127,51.293630693872885
128,45.769700574988576
129,49.35846588248742
130,45.18154113054412
131,43.79452168609967
132,45.179489989711925
133,45.286591408321904
134,43.86807724165524
135,45.29557168609968
136,51.193485634430715
137,47.06947646776406
138,46.30506674554183
139,47.48916952331961
